SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N
Preload-1N,1-Compress,0.000,11.257,-0.002,1.273
Preload-1N,1-Compress,0.010,11.258,-0.003,1.305
Preload-1N,1-Compress,0.020,11.262,-0.007,1.199
Preload-1N,1-Compress,0.030,11.262,-0.007,1.252
Preload-1N,1-Compress,0.040,11.263,-0.008,1.220
Preload-1N,1-Compress,0.050,11.265,-0.01,1.241
Preload-1N,1-Compress,0.060,11.266,-0.011,1.230
Preload-1N,1-Compress,0.070,11.266,-0.011,1.241
Preload-1N,1-Compress,0.080,11.268,-0.013,1.241
Preload-1N,1-Compress,0.090,11.268,-0.013,1.230
Preload-1N,1-Compress,0.100,11.268,-0.013,1.230
Preload-1N,1-Compress,0.110,11.268,-0.013,1.199
Preload-1N,1-Compress,0.120,11.269,-0.014,1.178
Preload-1N,1-Compress,0.130,11.269,-0.014,1.156
Preload-1N,1-Compress,0.140,11.269,-0.014,1.146
Preload-1N,1-Compress,0.150,11.269,-0.014,1.135
Preload-1N,1-Compress,0.160,11.269,-0.014,1.135
Preload-1N,1-Compress,0.170,11.269,-0.014,1.135
Preload-1N,1-Compress,0.180,11.269,-0.014,1.125
Preload-1N,1-Compress,0.190,11.269,-0.014,1.125
Preload-1N,1-Compress,0.200,11.269,-0.014,1.114
Preload-1N,1-Compress,0.210,11.269,-0.014,1.114
Preload-1N,1-Compress,0.220,11.269,-0.014,1.114
Preload-1N,1-Compress,0.230,11.269,-0.014,1.103
Preload-1N,1-Compress,0.240,11.269,-0.014,1.114
Preload-1N,1-Compress,0.250,11.269,-0.014,1.103
Preload-1N,1-Compress,0.260,11.269,-0.014,1.114
Preload-1N,1-Compress,0.270,11.269,-0.014,1.114
Preload-1N,1-Compress,0.280,11.269,-0.014,1.103
Preload-1N,1-Compress,0.290,11.269,-0.014,1.114
Preload-1N,1-Compress,0.300,11.269,-0.014,1.103
Preload-1N,1-Compress,0.310,11.269,-0.014,1.103
Preload-1N,1-Compress,0.320,11.269,-0.014,1.114
Preload-1N,1-Compress,0.330,11.269,-0.014,1.114
Preload-1N,1-Compress,0.340,11.269,-0.014,1.114
Preload-1N,1-Compress,0.350,11.269,-0.014,1.125
Preload-1N,1-Compress,0.360,11.269,-0.014,1.125
Preload-1N,1-Compress,0.370,11.269,-0.014,1.114
Preload-1N,1-Compress,0.380,11.269,-0.014,1.125
Preload-1N,1-Compress,0.390,11.269,-0.014,1.125
Preload-1N,1-Compress,0.400,11.269,-0.014,1.125
Preload-1N,1-Compress,0.410,11.269,-0.014,1.125
Preload-1N,1-Compress,0.420,11.269,-0.014,1.125
Preload-1N,1-Compress,0.430,11.269,-0.014,1.125
Preload-1N,1-Compress,0.440,11.269,-0.014,1.125
Preload-1N,1-Compress,0.450,11.269,-0.014,1.114
Preload-1N,1-Compress,0.460,11.269,-0.014,1.125
Preload-1N,1-Compress,0.470,11.269,-0.014,1.125
Preload-1N,1-Compress,0.480,11.269,-0.014,1.114
Preload-1N,1-Compress,0.490,11.269,-0.014,1.114
Preload-1N,1-Compress,0.500,11.269,-0.014,1.103
Preload-1N,1-Compress,0.510,11.269,-0.014,1.103
Preload-1N,1-Compress,0.520,11.269,-0.014,1.103
Preload-1N,1-Compress,0.530,11.269,-0.014,1.103
Preload-1N,1-Compress,0.540,11.269,-0.014,1.103
Preload-1N,1-Compress,0.550,11.269,-0.014,1.103
Preload-1N,1-Compress,0.560,11.269,-0.014,1.103
Preload-1N,1-Compress,0.570,11.269,-0.014,1.103
Preload-1N,1-Compress,0.580,11.269,-0.014,1.103
Preload-1N,1-Compress,0.590,11.269,-0.014,1.103
Preload-1N,1-Compress,0.600,11.269,-0.014,1.103
Preload-1N,1-Compress,0.610,11.269,-0.014,1.103
Preload-1N,1-Compress,0.620,11.269,-0.014,1.103
Preload-1N,1-Compress,0.630,11.269,-0.014,1.103
Preload-1N,1-Compress,0.640,11.269,-0.014,1.103
Preload-1N,1-Compress,0.650,11.269,-0.014,1.103
Preload-1N,1-Compress,0.660,11.269,-0.014,1.114
Preload-1N,1-Compress,0.670,11.269,-0.014,1.114
Preload-1N,1-Compress,0.680,11.269,-0.014,1.114
Preload-1N,1-Compress,0.690,11.269,-0.014,1.114
Preload-1N,1-Compress,0.700,11.269,-0.014,1.114
Preload-1N,1-Compress,0.710,11.269,-0.014,1.114
Preload-1N,1-Compress,0.720,11.269,-0.014,1.114
Preload-1N,1-Compress,0.730,11.269,-0.014,1.114
Preload-1N,1-Compress,0.740,11.269,-0.014,1.103
Preload-1N,1-Compress,0.750,11.269,-0.014,1.103
Preload-1N,1-Compress,0.760,11.269,-0.014,1.103
Preload-1N,1-Compress,0.770,11.269,-0.014,1.114
Preload-1N,1-Compress,0.780,11.269,-0.014,1.114
Preload-1N,1-Compress,0.790,11.269,-0.014,1.103
Preload-1N,1-Compress,0.800,11.269,-0.014,1.103
Preload-1N,1-Compress,0.810,11.269,-0.014,1.093
Preload-1N,1-Compress,0.820,11.269,-0.014,1.103
Preload-1N,1-Compress,0.830,11.269,-0.014,1.093
Preload-1N,1-Compress,0.840,11.269,-0.014,1.093
Preload-1N,1-Compress,0.850,11.269,-0.014,1.093
Preload-1N,1-Compress,0.860,11.269,-0.014,1.103
Preload-1N,1-Compress,0.870,11.269,-0.014,1.093
Preload-1N,1-Compress,0.880,11.269,-0.014,1.093
Preload-1N,1-Compress,0.890,11.269,-0.014,1.093
Preload-1N,1-Compress,0.900,11.269,-0.014,1.093
Preload-1N,1-Compress,0.910,11.269,-0.014,1.093
Preload-1N,1-Compress,0.920,11.269,-0.014,1.093
Preload-1N,1-Compress,0.930,11.269,-0.014,1.093
Preload-1N,1-Compress,0.940,11.269,-0.014,1.093
Preload-1N,1-Compress,0.950,11.269,-0.014,1.093
Preload-1N,1-Compress,0.960,11.269,-0.014,1.103
Preload-1N,1-Compress,0.970,11.269,-0.014,1.103
Preload-1N,1-Compress,0.980,11.269,-0.014,1.093
Preload-1N,1-Compress,0.990,11.269,-0.014,1.103
Preload-1N,1-Compress,1.000,11.269,-0.014,1.093
Preload-1N,1-Compress,1.010,11.269,-0.014,1.103
Preload-1N,1-Compress,1.020,11.269,-0.014,1.093
Preload-1N,1-Compress,1.030,11.269,-0.014,1.103
Preload-1N,1-Compress,1.040,11.269,-0.014,1.103
Preload-1N,1-Compress,1.050,11.269,-0.014,1.103
Preload-1N,1-Compress,1.060,11.269,-0.014,1.093
Preload-1N,1-Compress,1.070,11.269,-0.014,1.093
Preload-1N,1-Compress,1.080,11.269,-0.014,1.093
Preload-1N,1-Compress,1.090,11.269,-0.014,1.103
Preload-1N,1-Compress,1.100,11.269,-0.014,1.093
Preload-1N,1-Compress,1.110,11.269,-0.014,1.093
Preload-1N,1-Compress,1.120,11.269,-0.014,1.093
Preload-1N,1-Compress,1.130,11.269,-0.014,1.082
Preload-1N,1-Compress,1.140,11.269,-0.014,1.082
Preload-1N,1-Compress,1.150,11.269,-0.014,1.093
Preload-1N,1-Compress,1.160,11.269,-0.014,1.082
Preload-1N,1-Compress,1.170,11.269,-0.014,1.082
Preload-1N,1-Compress,1.180,11.269,-0.014,1.082
Preload-1N,1-Compress,1.190,11.269,-0.014,1.082
Preload-1N,1-Compress,1.200,11.269,-0.014,1.082
Preload-1N,1-Compress,1.210,11.269,-0.014,1.082
Preload-1N,1-Compress,1.220,11.269,-0.014,1.082
Preload-1N,1-Compress,1.230,11.269,-0.014,1.082
Preload-1N,1-Compress,1.240,11.269,-0.014,1.082
Preload-1N,1-Compress,1.250,11.269,-0.014,1.072
Preload-1N,1-Compress,1.260,11.269,-0.014,1.093
Preload-1N,1-Compress,1.270,11.269,-0.014,1.093
Preload-1N,1-Compress,1.280,11.269,-0.014,1.093
Preload-1N,1-Compress,1.290,11.269,-0.014,1.093
Preload-1N,1-Compress,1.300,11.269,-0.014,1.093
Preload-1N,1-Compress,1.310,11.269,-0.014,1.093
Preload-1N,1-Compress,1.320,11.269,-0.014,1.093
Preload-1N,1-Compress,1.330,11.269,-0.014,1.093
Preload-1N,1-Compress,1.340,11.269,-0.014,1.093
Preload-1N,1-Compress,1.350,11.269,-0.014,1.093
Preload-1N,1-Compress,1.360,11.269,-0.014,1.093
Preload-1N,1-Compress,1.370,11.269,-0.014,1.093
Preload-1N,1-Compress,1.380,11.269,-0.014,1.093
Preload-1N,1-Compress,1.390,11.269,-0.014,1.082
Preload-1N,1-Compress,1.400,11.269,-0.014,1.093
Preload-1N,1-Compress,1.410,11.269,-0.014,1.072
Preload-1N,1-Compress,1.420,11.269,-0.014,1.072
